# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669940000000260,593,4000669939999999667,QHOT
4000669940000000262,409,4000669939999999853,QHOT
4000669940000000264,31,4000669940000000233,QHOT
4000669940000000266,599,4000669939999999667,QHOT
4000669940000000268,601,4000669939999999667,QHOT
4000669940000000270,37,4000669940000000233,QHOT
4000669940000000272,419,4000669939999999853,QHOT
4000669940000000274,421,4000669939999999853,QHOT
4000669940000000276,43,4000669940000000233,QHOT
4000669940000000278,197,4000669940000000081,QHOT
4000669940000000280,47,4000669940000000233,QHOT
4000669940000000282,331,4000669939999999951,QHOT
4000669940000000284,431,4000669939999999853,QHOT
4000669940000000286,433,4000669939999999853,QHOT
4000669940000000288,97,4000669940000000191,QHOT
4000669940000000290,773,4000669939999999517,SIEVE
4000669940000000292,439,4000669939999999853,QHOT
4000669940000000294,61,4000669940000000233,QHOT
4000669940000000296,443,4000669939999999853,QHOT
4000669940000000298,631,4000669939999999667,QHOT
4000669940000000300,67,4000669940000000233,QHOT
4000669940000000302,449,4000669939999999853,QHOT
4000669940000000304,787,4000669939999999517,QHOT
4000669940000000306,73,4000669940000000233,QHOT
4000669940000000308,641,4000669939999999667,QHOT
4000669940000000310,457,4000669939999999853,QHOT
4000669940000000312,79,4000669940000000233,QHOT
4000669940000000314,797,4000669939999999517,QHOT
4000669940000000316,463,4000669939999999853,QHOT
4000669940000000318,127,4000669940000000191,QHOT
4000669940000000320,467,4000669939999999853,QHOT
4000669940000000322,89,4000669940000000233,QHOT
4000669940000000324,373,4000669939999999951,QHOT
4000669940000000326,809,4000669939999999517,QHOT
4000669940000000328,811,4000669939999999517,QHOT
4000669940000000330,97,4000669940000000233,QHOT
4000669940000000332,479,4000669939999999853,QHOT
4000669940000000334,101,4000669940000000233,QHOT
4000669940000000336,103,4000669940000000233,QHOT
4000669940000000338,821,4000669939999999517,QHOT
4000669940000000340,823,4000669939999999517,QHOT
4000669940000000342,109,4000669940000000233,QHOT
4000669940000000344,827,4000669939999999517,QHOT
4000669940000000346,829,4000669939999999517,QHOT
4000669940000000348,157,4000669940000000191,QHOT
4000669940000000350,683,4000669939999999667,QHOT
4000669940000000352,499,4000669939999999853,QHOT
4000669940000000354,163,4000669940000000191,QHOT
4000669940000000356,839,4000669939999999517,QHOT
4000669940000000358,691,4000669939999999667,QHOT
4000669940000000360,127,4000669940000000233,QHOT
4000669940000000362,509,4000669939999999853,QHOT
4000669940000000364,131,4000669940000000233,QHOT
4000669940000000366,373,4000669939999999993,QHOT
4000669940000000368,701,4000669939999999667,QHOT
4000669940000000370,853,4000669939999999517,QHOT
4000669940000000372,139,4000669940000000233,QHOT
4000669940000000374,857,4000669939999999517,QHOT
4000669940000000376,859,4000669939999999517,QHOT
4000669940000000378,691,4000669939999999687,SIEVE
4000669940000000380,863,4000669939999999517,QHOT
4000669940000000382,149,4000669940000000233,QHOT
4000669940000000384,151,4000669940000000233,QHOT
4000669940000000386,719,4000669939999999667,QHOT
4000669940000000388,701,4000669939999999687,QHOT
4000669940000000390,157,4000669940000000233,QHOT
4000669940000000392,311,4000669940000000081,QHOT
4000669940000000394,877,4000669939999999517,QHOT
4000669940000000396,709,4000669939999999687,QHOT
4000669940000000398,881,4000669939999999517,QHOT
4000669940000000400,883,4000669939999999517,QHOT
4000669940000000402,211,4000669940000000191,QHOT
4000669940000000404,887,4000669939999999517,QHOT
4000669940000000406,719,4000669939999999687,QHOT
4000669940000000408,457,4000669939999999951,QHOT
4000669940000000410,557,4000669939999999853,QHOT
4000669940000000412,179,4000669940000000233,QHOT
4000669940000000414,727,4000669939999999687,QHOT
4000669940000000416,563,4000669939999999853,QHOT
4000669940000000418,751,4000669939999999667,QHOT
4000669940000000420,733,4000669939999999687,QHOT
4000669940000000422,569,4000669939999999853,QHOT
4000669940000000424,907,4000669939999999517,QHOT
4000669940000000426,739,4000669939999999687,QHOT
4000669940000000428,911,4000669939999999517,QHOT
4000669940000000430,743,4000669939999999687,QHOT
4000669940000000432,199,4000669940000000233,QHOT
4000669940000000434,353,4000669940000000081,QHOT
4000669940000000436,919,4000669939999999517,QHOT
4000669940000000438,751,4000669939999999687,QHOT
4000669940000000440,587,4000669939999999853,QHOT
4000669940000000442,251,4000669940000000191,QHOT
4000669940000000444,757,4000669939999999687,QHOT
4000669940000000446,929,4000669939999999517,QHOT
4000669940000000448,761,4000669939999999687,QHOT
4000669940000000450,499,4000669939999999951,QHOT
4000669940000000452,599,4000669939999999853,QHOT
4000669940000000454,937,4000669939999999517,QHOT
4000669940000000456,769,4000669939999999687,QHOT
4000669940000000458,941,4000669939999999517,QHOT
4000669940000000460,773,4000669939999999687,QHOT
4000669940000000462,229,4000669940000000233,QHOT
4000669940000000464,947,4000669939999999517,QHOT
4000669940000000466,613,4000669939999999853,QHOT
4000669940000000468,277,4000669940000000191,QHOT
4000669940000000470,953,4000669939999999517,QHOT
4000669940000000472,619,4000669939999999853,QHOT
4000669940000000474,787,4000669939999999687,QHOT
4000669940000000476,809,4000669939999999667,QHOT
4000669940000000478,811,4000669939999999667,QHOT
4000669940000000480,751,4000669939999999729,QHOT
4000669940000000482,401,4000669940000000081,QHOT
4000669940000000484,797,4000669939999999687,QHOT
4000669940000000486,757,4000669939999999729,QHOT
4000669940000000488,971,4000669939999999517,QHOT
4000669940000000490,257,4000669940000000233,QHOT
4000669940000000492,541,4000669939999999951,QHOT
4000669940000000494,977,4000669939999999517,QHOT
4000669940000000496,809,4000669939999999687,QHOT
4000669940000000498,811,4000669939999999687,QHOT
4000669940000000500,983,4000669939999999517,QHOT
4000669940000000502,269,4000669940000000233,QHOT
4000669940000000504,271,4000669940000000233,QHOT
4000669940000000506,653,4000669939999999853,QHOT
4000669940000000508,821,4000669939999999687,QHOT
4000669940000000510,823,4000669939999999687,QHOT
4000669940000000512,659,4000669939999999853,QHOT
4000669940000000514,827,4000669939999999687,QHOT
4000669940000000516,829,4000669939999999687,QHOT
