# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000591379999999994
# total_verified=235130000000000
# total_total=235130000000000
# total_tries=4045026860116
# total_qhot=234988559422192
# total_misses=0
# elapsed_sec=260217.164346
N,p,q,source
4000591339999999996,467,4000591339999999529,SIEVE
4000591339999999998,17,4000591339999999981,SIEVE
4000591340000000000,19,4000591339999999981,QHOT
4000591340000000002,443,4000591339999999559,SIEVE
4000591340000000004,23,4000591339999999981,QHOT
4000591340000000006,67,4000591339999999939,SIEVE
4000591340000000008,449,4000591339999999559,QHOT
4000591340000000010,71,4000591339999999939,QHOT
4000591340000000012,73,4000591339999999939,QHOT
4000591340000000014,491,4000591339999999523,SIEVE
4000591340000000016,457,4000591339999999559,QHOT
4000591340000000018,79,4000591339999999939,QHOT
4000591340000000020,461,4000591339999999559,QHOT
4000591340000000022,499,4000591339999999523,QHOT
4000591340000000024,43,4000591339999999981,QHOT
4000591340000000026,503,4000591339999999523,QHOT
4000591340000000028,89,4000591339999999939,QHOT
4000591340000000030,79,4000591339999999951,SIEVE
4000591340000000032,509,4000591339999999523,QHOT
4000591340000000034,83,4000591339999999951,QHOT
4000591340000000036,97,4000591339999999939,QHOT
4000591340000000038,479,4000591339999999559,QHOT
4000591340000000040,89,4000591339999999951,QHOT
4000591340000000042,103,4000591339999999939,QHOT
4000591340000000044,521,4000591339999999523,QHOT
4000591340000000046,523,4000591339999999523,QHOT
4000591340000000048,97,4000591339999999951,QHOT
4000591340000000050,491,4000591339999999559,QHOT
4000591340000000052,101,4000591339999999951,QHOT
4000591340000000054,103,4000591339999999951,QHOT
4000591340000000056,653,4000591339999999403,SIEVE
4000591340000000058,107,4000591339999999951,QHOT
4000591340000000060,109,4000591339999999951,QHOT
4000591340000000062,659,4000591339999999403,QHOT
4000591340000000064,661,4000591339999999403,QHOT
4000591340000000066,127,4000591339999999939,QHOT
4000591340000000068,509,4000591339999999559,QHOT
4000591340000000070,547,4000591339999999523,QHOT
4000591340000000072,163,4000591339999999909,SIEVE
4000591340000000074,743,4000591339999999331,SIEVE
4000591340000000076,167,4000591339999999909,QHOT
4000591340000000078,127,4000591339999999951,QHOT
4000591340000000080,677,4000591339999999403,QHOT
4000591340000000082,751,4000591339999999331,QHOT
4000591340000000084,103,4000591339999999981,QHOT
4000591340000000086,683,4000591339999999403,QHOT
4000591340000000088,757,4000591339999999331,QHOT
4000591340000000090,181,4000591339999999909,QHOT
4000591340000000092,761,4000591339999999331,QHOT
4000591340000000094,691,4000591339999999403,QHOT
4000591340000000096,157,4000591339999999939,QHOT
4000591340000000098,569,4000591339999999529,QHOT
4000591340000000100,769,4000591339999999331,QHOT
4000591340000000102,193,4000591339999999909,QHOT
4000591340000000104,773,4000591339999999331,QHOT
4000591340000000106,197,4000591339999999909,QHOT
4000591340000000108,199,4000591339999999909,QHOT
4000591340000000110,587,4000591339999999523,QHOT
4000591340000000112,709,4000591339999999403,QHOT
4000591340000000114,163,4000591339999999951,QHOT
4000591340000000116,593,4000591339999999523,QHOT
4000591340000000118,787,4000591339999999331,QHOT
4000591340000000120,211,4000591339999999909,QHOT
4000591340000000122,719,4000591339999999403,QHOT
4000591340000000124,173,4000591339999999951,QHOT
4000591340000000126,373,4000591339999999753,SIEVE
4000591340000000128,797,4000591339999999331,QHOT
4000591340000000130,727,4000591339999999403,QHOT
4000591340000000132,379,4000591339999999753,QHOT
4000591340000000134,41,4000591340000000093,SIEVE
4000591340000000136,43,4000591340000000093,QHOT
4000591340000000138,229,4000591339999999909,QHOT
4000591340000000140,47,4000591340000000093,QHOT
4000591340000000142,389,4000591339999999753,QHOT
4000591340000000144,193,4000591339999999951,QHOT
4000591340000000146,53,4000591340000000093,QHOT
4000591340000000148,239,4000591339999999909,QHOT
4000591340000000150,397,4000591339999999753,QHOT
4000591340000000152,59,4000591340000000093,QHOT
4000591340000000154,61,4000591340000000093,QHOT
4000591340000000156,3,4000591340000000153,SIEVE
4000591340000000158,5,4000591340000000153,QHOT
4000591340000000160,7,4000591340000000153,QHOT
4000591340000000162,409,4000591339999999753,QHOT
4000591340000000164,11,4000591340000000153,QHOT
4000591340000000166,13,4000591340000000153,QHOT
4000591340000000168,229,4000591339999999939,QHOT
4000591340000000170,17,4000591340000000153,QHOT
4000591340000000172,19,4000591340000000153,QHOT
4000591340000000174,421,4000591339999999753,QHOT
4000591340000000176,23,4000591340000000153,QHOT
4000591340000000178,269,4000591339999999909,QHOT
4000591340000000180,271,4000591339999999909,QHOT
4000591340000000182,29,4000591340000000153,QHOT
4000591340000000184,31,4000591340000000153,QHOT
4000591340000000186,433,4000591339999999753,QHOT
4000591340000000188,857,4000591339999999331,QHOT
4000591340000000190,37,4000591340000000153,QHOT
4000591340000000192,439,4000591339999999753,QHOT
4000591340000000194,41,4000591340000000153,QHOT
4000591340000000196,43,4000591340000000153,QHOT
4000591340000000198,499,4000591339999999699,SIEVE
4000591340000000200,47,4000591340000000153,QHOT
4000591340000000202,503,4000591339999999699,QHOT
4000591340000000204,223,4000591339999999981,QHOT
4000591340000000206,53,4000591340000000153,QHOT
4000591340000000208,509,4000591339999999699,QHOT
4000591340000000210,457,4000591339999999753,QHOT
4000591340000000212,59,4000591340000000153,QHOT
4000591340000000214,61,4000591340000000153,QHOT
4000591340000000216,463,4000591339999999753,QHOT
4000591340000000218,887,4000591339999999331,QHOT
4000591340000000220,521,4000591339999999699,QHOT
4000591340000000222,523,4000591339999999699,QHOT
4000591340000000224,71,4000591340000000153,QHOT
4000591340000000226,73,4000591340000000153,QHOT
4000591340000000228,277,4000591339999999951,QHOT
4000591340000000230,137,4000591340000000093,QHOT
4000591340000000232,79,4000591340000000153,QHOT
4000591340000000234,283,4000591339999999951,QHOT
4000591340000000236,83,4000591340000000153,QHOT
4000591340000000238,907,4000591339999999331,QHOT
4000591340000000240,541,4000591339999999699,QHOT
4000591340000000242,89,4000591340000000153,QHOT
4000591340000000244,151,4000591340000000093,QHOT
4000591340000000246,547,4000591339999999699,QHOT
4000591340000000248,719,4000591339999999529,QHOT
4000591340000000250,97,4000591340000000153,QHOT
4000591340000000252,499,4000591339999999753,QHOT
4000591340000000254,101,4000591340000000153,QHOT
4000591340000000256,557,4000591339999999699,QHOT
4000591340000000258,349,4000591339999999909,QHOT
4000591340000000260,107,4000591340000000153,QHOT
4000591340000000262,563,4000591339999999699,QHOT
4000591340000000264,313,4000591339999999951,QHOT
4000591340000000266,113,4000591340000000153,QHOT
4000591340000000268,569,4000591339999999699,QHOT
4000591340000000270,571,4000591339999999699,QHOT
4000591340000000272,179,4000591340000000093,QHOT
4000591340000000274,181,4000591340000000093,QHOT
4000591340000000276,577,4000591339999999699,QHOT
4000591340000000278,947,4000591339999999331,QHOT
4000591340000000280,127,4000591340000000153,QHOT
4000591340000000282,373,4000591339999999909,QHOT
4000591340000000284,131,4000591340000000153,QHOT
4000591340000000286,587,4000591339999999699,QHOT
4000591340000000288,379,4000591339999999909,QHOT
4000591340000000290,137,4000591340000000153,QHOT
4000591340000000292,593,4000591339999999699,QHOT
4000591340000000294,541,4000591339999999753,QHOT
4000591340000000296,773,4000591339999999523,QHOT
4000591340000000298,599,4000591339999999699,QHOT
4000591340000000300,601,4000591339999999699,QHOT
4000591340000000302,149,4000591340000000153,QHOT
4000591340000000304,151,4000591340000000153,QHOT
4000591340000000306,607,4000591339999999699,QHOT
