# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000518339999999994
# total_verified=198610000000000
# total_total=198610000000000
# total_tries=3902536983146
# total_qhot=198473535614671
# total_misses=0
# elapsed_sec=219905.558032
N,p,q,source
4000441699999999996,227,4000441699999999769,SIEVE
4000441699999999998,229,4000441699999999769,QHOT
4000441700000000000,79,4000441699999999921,SIEVE
4000441700000000002,233,4000441699999999769,QHOT
4000441700000000004,83,4000441699999999921,QHOT
4000441700000000006,139,4000441699999999867,SIEVE
4000441700000000008,239,4000441699999999769,QHOT
4000441700000000010,89,4000441699999999921,QHOT
4000441700000000012,271,4000441699999999741,SIEVE
4000441700000000014,701,4000441699999999313,SIEVE
4000441700000000016,149,4000441699999999867,QHOT
4000441700000000018,277,4000441699999999741,QHOT
4000441700000000020,251,4000441699999999769,QHOT
4000441700000000022,709,4000441699999999313,QHOT
4000441700000000024,283,4000441699999999741,QHOT
4000441700000000026,257,4000441699999999769,QHOT
4000441700000000028,107,4000441699999999921,QHOT
4000441700000000030,163,4000441699999999867,QHOT
4000441700000000032,719,4000441699999999313,QHOT
4000441700000000034,293,4000441699999999741,QHOT
4000441700000000036,193,4000441699999999843,SIEVE
4000441700000000038,269,4000441699999999769,QHOT
4000441700000000040,197,4000441699999999843,QHOT
4000441700000000042,199,4000441699999999843,QHOT
4000441700000000044,1103,4000441699999998941,SIEVE
4000441700000000046,733,4000441699999999313,QHOT
4000441700000000048,307,4000441699999999741,QHOT
4000441700000000050,1109,4000441699999998941,QHOT
4000441700000000052,739,4000441699999999313,QHOT
4000441700000000054,211,4000441699999999843,QHOT
4000441700000000056,743,4000441699999999313,QHOT
4000441700000000058,1117,4000441699999998941,QHOT
4000441700000000060,193,4000441699999999867,QHOT
4000441700000000062,293,4000441699999999769,QHOT
4000441700000000064,1123,4000441699999998941,QHOT
4000441700000000066,223,4000441699999999843,QHOT
4000441700000000068,941,4000441699999999127,SIEVE
4000441700000000070,1129,4000441699999998941,QHOT
4000441700000000072,229,4000441699999999843,QHOT
