# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4001000000000000000
# total_verified=439440000000003
# total_total=439440000000003
# total_tries=4843729688398
# total_qhot=439270668360167
# total_misses=0
# elapsed_sec=468998.388662
N,p,q,source
4000995310422960124,17,4000995310422960107,SIEVE
4000995320053082108,739,4000995320053081369,SIEVE
4000995330555619324,233,4000995330555619091,SIEVE
4000995340369098748,197,4000995340369098551,SIEVE
4000995350200547324,97,4000995350200547227,SIEVE
4000995360736638972,89,4000995360736638883,SIEVE
4000995370400315388,107,4000995370400315281,SIEVE
4000995380063991804,151,4000995380063991653,SIEVE
4000995390532974588,101,4000995390532974487,SIEVE
4000995400163096572,59,4000995400163096513,SIEVE
4000995410598524924,7,4000995410598524917,SIEVE
4000995420362864636,43,4000995420362864593,SIEVE
4000995430060095484,53,4000995430060095431,SIEVE
4000995440529078268,197,4000995440529078071,SIEVE
4000995450192754684,101,4000995450192754583,SIEVE
4000995460628183036,73,4000995460628182963,SIEVE
4000995470224750588,89,4000995470224750499,SIEVE
4000995480693733372,131,4000995480693733241,SIEVE
4000995490491627516,13,4000995490491627503,SIEVE
4000995500121749500,149,4000995500121749351,SIEVE
4000995510624286716,23,4000995510624286693,SIEVE
4000995520220854268,7,4000995520220854261,SIEVE
4000995530555619324,11,4000995530555619313,SIEVE
4000995540234881020,11,4000995540234881009,SIEVE
4000995550267656188,19,4000995550267656169,SIEVE
4000995560434649084,157,4000995560434648927,SIEVE
4000995570098325500,547,4000995570098324953,SIEVE
4000995580567308284,67,4000995580567308217,SIEVE
4000995590130321404,31,4000995590130321373,SIEVE
4000995600565749756,23,4000995600565749733,SIEVE
4000995610262980604,13,4000995610262980591,SIEVE
4000995620664854524,101,4000995620664854423,SIEVE
4000995630261422076,19,4000995630261422057,SIEVE
4000995640562632700,7,4000995640562632693,SIEVE
4000995650226309116,7,4000995650226309109,SIEVE
4000995660594628604,37,4000995660594628567,SIEVE
4000995670224750588,211,4000995670224750377,SIEVE
4000995680660178940,59,4000995680660178881,SIEVE
4000995690323855356,149,4000995690323855207,SIEVE
4000995700692174844,281,4000995700692174563,SIEVE
4000995710322296828,19,4000995710322296809,SIEVE
4000995720724170748,137,4000995720724170611,SIEVE
4000995730354292732,229,4000995730354292503,SIEVE
4000995740738197500,83,4000995740738197417,SIEVE
4000995750603200508,31,4000995750603200477,SIEVE
4000995760401094652,13,4000995760401094639,SIEVE
4000995770165434364,43,4000995770165434321,SIEVE
4000995780701526012,41,4000995780701525971,SIEVE
4000995790331647996,89,4000995790331647907,SIEVE
4000995800767076348,31,4000995800767076317,SIEVE
4000995810296535036,53,4000995810296534983,SIEVE
4000995820000004276,19,4000995820000004257,SIEVE
4000995830395639804,257,4000995830395639547,SIEVE
4000995840159979516,179,4000995840159979337,SIEVE
4000995850662516732,23,4000995850662516709,SIEVE
4000995860326193148,97,4000995860326193051,SIEVE
4000995870000044294,787,4000995870000043507,SIEVE
4000995880525961212,89,4000995880525961123,SIEVE
4000995890223192060,139,4000995890223191921,SIEVE
4000995900692174844,43,4000995900692174801,SIEVE
4000995910389405692,43,4000995910389405649,SIEVE
4000995920757725180,3,4000995920757725177,SIEVE
4000995930387847164,31,4000995930387847133,SIEVE
4000995940469762044,197,4000995940469761847,SIEVE
4000995950636754940,11,4000995950636754929,SIEVE
4000995960300431356,23,4000995960300431333,SIEVE
4000995970735859708,61,4000995970735859647,SIEVE
4000995980399536124,73,4000995980399536051,SIEVE
4000995990029658108,19,4000995990029658089,SIEVE
4000996000498640892,13,4000996000498640879,SIEVE
4000996010195871740,367,4000996010195871373,SIEVE
4000996020698408956,197,4000996020698408759,SIEVE
4000996030395639804,47,4000996030395639757,SIEVE
4000996040126425084,11,4000996040126425073,SIEVE
4000996050662516732,3,4000996050662516729,SIEVE
4000996060326193148,307,4000996060326192841,SIEVE
4000996070000007562,53,4000996070000007509,SIEVE
4000996080458852348,109,4000996080458852239,SIEVE
4000996090156083196,173,4000996090156083023,SIEVE
4000996100658620412,31,4000996100658620381,SIEVE
4000996110322296828,11,4000996110322296817,SIEVE
4000996120053082108,41,4000996120053082067,SIEVE
4000996130622728188,179,4000996130622728009,SIEVE
4000996140738197500,113,4000996140738197387,SIEVE
4000996150032775164,67,4000996150032775097,SIEVE
4000996160568866812,173,4000996160568866639,SIEVE
4000996170266097660,13,4000996170266097647,SIEVE
4000996180735080444,131,4000996180735080313,SIEVE
4000996190163875836,179,4000996190163875657,SIEVE
4000996200498640892,139,4000996200498640753,SIEVE
4000996210162317308,37,4000996210162317271,SIEVE
4000996220631300092,211,4000996220631299881,SIEVE
4000996230328530940,83,4000996230328530857,SIEVE
4000996240059316220,3,4000996240059316217,SIEVE
4000996250528299004,61,4000996250528298943,SIEVE
4000996260191975420,3,4000996260191975417,SIEVE
4000996270660958204,7,4000996270660958197,SIEVE
4000996280324634620,13,4000996280324634607,SIEVE
4000996290000014554,5,4000996290000014549,SIEVE
4000996300423739388,127,4000996300423739261,SIEVE
4000996310053861372,11,4000996310053861361,SIEVE
4000996320522844156,23,4000996320522844133,SIEVE
4000996330253629436,43,4000996330253629393,SIEVE
4000996340637534204,17,4000996340637534187,SIEVE
4000996350133438460,31,4000996350133438429,SIEVE
4000996360602421244,523,4000996360602420721,SIEVE
4000996370232543228,17,4000996370232543211,SIEVE
4000996380735080444,661,4000996380735079783,SIEVE
4000996390398756860,61,4000996390398756799,SIEVE
4000996400000006636,373,4000996400000006263,SIEVE
4000996410531416060,97,4000996410531415963,SIEVE
4000996420295755772,43,4000996420295755729,SIEVE
4000996430026541052,71,4000996430026540981,SIEVE
4000996440495523836,19,4000996440495523817,SIEVE
4000996450159200252,31,4000996450159200221,SIEVE
4000996460561074172,139,4000996460561074033,SIEVE
4000996470191196156,463,4000996470191195693,SIEVE
4000996480693733372,43,4000996480693733329,SIEVE
4000996490290300924,11,4000996490290300913,SIEVE
4000996500000013912,11,4000996500000013901,SIEVE
4000996510523623420,3,4000996510523623417,SIEVE
4000996520086636540,131,4000996520086636409,SIEVE
4000996530421401596,103,4000996530421401493,SIEVE
4000996540738197500,571,4000996540738196929,SIEVE
4000996550368319484,67,4000996550368319417,SIEVE
4000996560000031694,13,4000996560000031681,SIEVE
4000996570433869820,31,4000996570433869789,SIEVE
4000996580231763964,107,4000996580231763857,SIEVE
4000996590700746748,29,4000996590700746719,SIEVE
4000996600498640892,5,4000996600498640887,SIEVE
4000996610162317308,41,4000996610162317267,SIEVE
4000996620731963388,59,4000996620731963329,SIEVE
4000996630462748668,197,4000996630462748471,SIEVE
4000996640092870652,79,4000996640092870573,SIEVE
4000996650561853436,3,4000996650561853433,SIEVE
4000996660158420988,59,4000996660158420929,SIEVE
4000996670560294908,59,4000996670560294849,SIEVE
4000996680223971324,37,4000996680223971287,SIEVE
4000996690592290812,11,4000996690592290801,SIEVE
4000996700323076092,59,4000996700323076033,SIEVE
4000996710087415804,263,4000996710087415541,SIEVE
4000996720623507452,19,4000996720623507433,SIEVE
4000996730387847164,43,4000996730387847121,SIEVE
4000996740738197500,107,4000996740738197393,SIEVE
4000996750099884028,569,4000996750099883459,SIEVE
4000996760568866812,71,4000996760568866741,SIEVE
4000996770266097660,17,4000996770266097643,SIEVE
4000996780000022954,31,4000996780000022923,SIEVE
4000996790499420156,103,4000996790499420053,SIEVE
4000996800163096572,31,4000996800163096541,SIEVE
4000996810632079356,53,4000996810632079303,SIEVE
4000996820329310204,523,4000996820329309681,SIEVE
4000996830026541052,3,4000996830026541049,SIEVE
4000996840529078268,29,4000996840529078239,SIEVE
4000996850259863548,239,4000996850259863309,SIEVE
4000996860024203260,3,4000996860024203257,SIEVE
4000996870526740476,19,4000996870526740457,SIEVE
4000996880156862460,41,4000996880156862419,SIEVE
4000996890692954108,127,4000996890692953981,SIEVE
4000996900222412796,59,4000996900222412737,SIEVE
4000996910624286716,67,4000996910624286649,SIEVE
4000996920355071996,83,4000996920355071913,SIEVE
4000996930052302844,73,4000996930052302771,SIEVE
4000996940469762044,3,4000996940469762041,SIEVE
4000996950401873916,29,4000996950401873887,SIEVE
4000996960703084540,157,4000996960703084383,SIEVE
4000996970333206524,41,4000996970333206483,SIEVE
4000996980030437372,79,4000996980030437293,SIEVE
4000996990499420156,13,4000996990499420143,SIEVE
4000997000196651004,227,4000997000196650777,SIEVE
4000997010665633788,197,4000997010665633591,SIEVE
4000997020295755772,151,4000997020295755621,SIEVE
4000997030000013718,71,4000997030000013647,SIEVE
4000997040428414972,313,4000997040428414659,SIEVE
4000997050125645820,101,4000997050125645719,SIEVE
4000997060561074172,661,4000997060561073511,SIEVE
4000997070157641724,41,4000997070157641683,SIEVE
4000997080593070076,223,4000997080593069853,SIEVE
4000997090256746492,103,4000997090256746389,SIEVE
4000997100759283708,47,4000997100759283661,SIEVE
4000997110456514556,19,4000997110456514537,SIEVE
4000997120153745404,13,4000997120153745391,SIEVE
4000997130589173756,29,4000997130589173727,SIEVE
4000997140100663292,61,4000997140100663231,SIEVE
4000997150200547324,13,4000997150200547311,SIEVE
4000997160770193404,181,4000997160770193223,SIEVE
4000997170467424252,23,4000997170467424229,SIEVE
4000997180131100668,47,4000997180131100621,SIEVE
4000997190633637884,47,4000997190633637837,SIEVE
4000997200297314300,59,4000997200297314241,SIEVE
4000997210699188220,853,4000997210699187367,SIEVE
4000997220396419068,41,4000997220396419027,SIEVE
4000997230127204348,79,4000997230127204269,SIEVE
4000997240629741564,467,4000997240629741097,SIEVE
4000997250293417980,3,4000997250293417977,SIEVE
4000997260762400764,317,4000997260762400447,SIEVE
4000997270358968316,13,4000997270358968303,SIEVE
4000997280056199164,307,4000997280056198857,SIEVE
4000997290558736380,317,4000997290558736063,SIEVE
4000997300289521660,31,4000997300289521629,SIEVE
4000997310758504444,7,4000997310758504437,SIEVE
4000997320422180860,139,4000997320422180721,SIEVE
4000997330119411708,11,4000997330119411697,SIEVE
4000997340167772156,13,4000997340167772143,SIEVE
4000997350133438460,31,4000997350133438429,SIEVE
4000997360635975676,7,4000997360635975669,SIEVE
4000997370198988796,397,4000997370198988399,SIEVE
4000997380667971580,397,4000997380667971183,SIEVE
4000997390197430268,89,4000997390197430179,SIEVE
4000997400632858620,53,4000997400632858567,SIEVE
4000997410296535036,359,4000997410296534677,SIEVE
4000997420765517820,3,4000997420765517817,SIEVE
4000997430429194236,113,4000997430429194123,SIEVE
4000997440092870652,311,4000997440092870341,SIEVE
4000997450561853436,467,4000997450561852969,SIEVE
4000997460326193148,251,4000997460326192897,SIEVE
4000997470090532860,317,4000997470090532543,SIEVE
4000997480626624508,109,4000997480626624399,SIEVE
4000997490357409788,17,4000997490357409771,SIEVE
4000997500088195068,101,4000997500088194967,SIEVE
4000997510590732284,7,4000997510590732277,SIEVE
4000997520287963132,19,4000997520287963113,SIEVE
4000997530018748412,19,4000997530018748393,SIEVE
4000997539999999996,29,4000997539999999967,SIEVE
4000997550133438460,13,4000997550133438447,SIEVE
4000997560568866812,5,4000997560568866807,SIEVE
4000997570333206524,17,4000997570333206507,SIEVE
4000997580030437372,349,4000997580030437023,SIEVE
4000997590465865724,71,4000997590465865653,SIEVE
4000997600095987708,29,4000997600095987679,SIEVE
4000997610497861628,47,4000997610497861581,SIEVE
4000997620497082364,223,4000997620497082141,SIEVE
4000997630261422076,7,4000997630261422069,SIEVE
4000997640730404860,37,4000997640730404823,SIEVE
4000997650360526844,31,4000997650360526813,SIEVE
4000997660000029168,281,4000997660000028887,SIEVE
4000997670426077180,199,4000997670426076981,SIEVE
4000997680089753596,3,4000997680089753593,SIEVE
4000997690625845244,193,4000997690625845051,SIEVE
4000997700390184956,23,4000997700390184933,SIEVE
4000997710154524668,89,4000997710154524579,SIEVE
4000997720623507452,71,4000997720623507381,SIEVE
4000997730354292732,293,4000997730354292439,SIEVE
4000997740234881020,73,4000997740234880947,SIEVE
4000997750334765052,239,4000997750334764813,SIEVE
4000997760770193404,97,4000997760770193307,SIEVE
4000997770198988796,59,4000997770198988737,SIEVE
4000997780667971580,59,4000997780667971521,SIEVE
4000997790264539132,199,4000997790264538933,SIEVE
4000997800733521916,19,4000997800733521897,SIEVE
4000997810397198332,193,4000997810397198139,SIEVE
4000997820000004438,401,4000997820000004037,SIEVE
4000997830462748668,5,4000997830462748663,SIEVE
4000997840059316220,67,4000997840059316153,SIEVE
4000997850360526844,61,4000997850360526783,SIEVE
4000997860728846332,109,4000997860728846223,SIEVE
4000997870392522748,241,4000997870392522507,SIEVE
4000997880022644732,5,4000997880022644727,SIEVE
4000997890491627516,163,4000997890491627353,SIEVE
4000997900088195068,31,4000997900088195037,SIEVE
4000997910456514556,37,4000997910456514519,SIEVE
4000997920086636540,61,4000997920086636479,SIEVE
4000997930522064892,131,4000997930522064761,SIEVE
4000997940738197500,11,4000997940738197489,SIEVE
4000997950032775164,13,4000997950032775151,SIEVE
4000997960602421244,13,4000997960602421231,SIEVE
4000997970266097660,23,4000997970266097637,SIEVE
4000997980000001584,137,4000997980000001447,SIEVE
4000997990432311292,331,4000997990432310961,SIEVE
4000998000028878844,167,4000998000028878677,SIEVE
4000998010531416060,11,4000998010531416049,SIEVE
4000998020228646908,61,4000998020228646847,SIEVE
4000998030731184124,557,4000998030731183567,SIEVE
4000998040327751676,13,4000998040327751663,SIEVE
4000998050024982524,3,4000998050024982521,SIEVE
4000998060426856444,41,4000998060426856403,SIEVE
4000998070090532860,53,4000998070090532807,SIEVE
