# Goldbach verification checkpoint + samples
# original_start=4000000000000000000
# original_end=4001000000000000000
# last_verified=4000037279999999998
# total_verified=18640000000000
# total_total=18640000000000
# total_tries=72730052155
# total_qhot=18637460069235
# total_misses=0
# elapsed_sec=19859.478555
N,p,q,source
4000000000000000000,113,3999999999999999887,SIEVE
4000000000000000002,211,3999999999999999791,SIEVE
4000000000000000004,313,3999999999999999691,SIEVE
4000000000000000006,509,3999999999999999497,SIEVE
4000000000000000008,317,3999999999999999691,QHOT
4000000000000000010,127,3999999999999999883,SIEVE
4000000000000000012,251,3999999999999999761,SIEVE
4000000000000000014,131,3999999999999999883,QHOT
4000000000000000016,1213,3999999999999998803,SIEVE
4000000000000000018,257,3999999999999999761,QHOT
4000000000000000020,1217,3999999999999998803,QHOT
4000000000000000022,139,3999999999999999883,QHOT
4000000000000000024,263,3999999999999999761,QHOT
4000000000000000026,1223,3999999999999998803,QHOT
4000000000000000028,337,3999999999999999691,QHOT
4000000000000000030,269,3999999999999999761,QHOT
4000000000000000032,1229,3999999999999998803,QHOT
4000000000000000034,1231,3999999999999998803,QHOT
4000000000000000036,149,3999999999999999887,QHOT
4000000000000000038,277,3999999999999999761,QHOT
4000000000000000040,1237,3999999999999998803,QHOT
4000000000000000042,281,3999999999999999761,QHOT
4000000000000000044,283,3999999999999999761,QHOT
4000000000000000046,163,3999999999999999883,QHOT
4000000000000000048,257,3999999999999999791,QHOT
4000000000000000050,167,3999999999999999883,QHOT
4000000000000000052,1249,3999999999999998803,QHOT
4000000000000000054,293,3999999999999999761,QHOT
4000000000000000056,173,3999999999999999883,QHOT
4000000000000000058,367,3999999999999999691,QHOT
4000000000000000060,563,3999999999999999497,QHOT
4000000000000000062,1259,3999999999999998803,QHOT
4000000000000000064,181,3999999999999999883,QHOT
4000000000000000066,569,3999999999999999497,QHOT
4000000000000000068,307,3999999999999999761,QHOT
4000000000000000070,379,3999999999999999691,QHOT
4000000000000000072,311,3999999999999999761,QHOT
4000000000000000074,313,3999999999999999761,QHOT
